,race_order,race_name,constructor_name,points
1,1,Bahrain Grand Prix,Alfa Romeo,0.0
113,1,Bahrain Grand Prix,AlphaTauri,2.0
15,1,Bahrain Grand Prix,Alpine F1 Team,0.0
29,1,Bahrain Grand Prix,Aston Martin,1.0
43,1,Bahrain Grand Prix,Ferrari,12.0
57,1,Bahrain Grand Prix,Haas F1 Team,0.0
71,1,Bahrain Grand Prix,McLaren,18.0
85,1,Bahrain Grand Prix,Mercedes,41.0
99,1,Bahrain Grand Prix,Red Bull,28.0
127,1,Bahrain Grand Prix,Williams,0.0
2,2,Emilia Romagna Grand Prix,Alfa Romeo,0.0
114,2,Emilia Romagna Grand Prix,AlphaTauri,8.0
16,2,Emilia Romagna Grand Prix,Alpine F1 Team,3.0
30,2,Emilia Romagna Grand Prix,Aston Martin,5.0
44,2,Emilia Romagna Grand Prix,Ferrari,34.0
58,2,Emilia Romagna Grand Prix,Haas F1 Team,0.0
72,2,Emilia Romagna Grand Prix,McLaren,41.0
86,2,Emilia Romagna Grand Prix,Mercedes,60.0
100,2,Emilia Romagna Grand Prix,Red Bull,53.0
128,2,Emilia Romagna Grand Prix,Williams,0.0
3,3,Portuguese Grand Prix,Alfa Romeo,0.0
115,3,Portuguese Grand Prix,AlphaTauri,9.0
17,3,Portuguese Grand Prix,Alpine F1 Team,13.0
31,3,Portuguese Grand Prix,Aston Martin,5.0
45,3,Portuguese Grand Prix,Ferrari,42.0
59,3,Portuguese Grand Prix,Haas F1 Team,0.0
73,3,Portuguese Grand Prix,McLaren,53.0
87,3,Portuguese Grand Prix,Mercedes,101.0
101,3,Portuguese Grand Prix,Red Bull,83.0
129,3,Portuguese Grand Prix,Williams,0.0
4,4,Spanish Grand Prix,Alfa Romeo,0.0
116,4,Spanish Grand Prix,AlphaTauri,10.0
18,4,Spanish Grand Prix,Alpine F1 Team,15.0
32,4,Spanish Grand Prix,Aston Martin,5.0
46,4,Spanish Grand Prix,Ferrari,60.0
60,4,Spanish Grand Prix,Haas F1 Team,0.0
74,4,Spanish Grand Prix,McLaren,65.0
88,4,Spanish Grand Prix,Mercedes,141.0
102,4,Spanish Grand Prix,Red Bull,112.0
130,4,Spanish Grand Prix,Williams,0.0
5,5,Monaco Grand Prix,Alfa Romeo,1.0
117,5,Monaco Grand Prix,AlphaTauri,18.0
19,5,Monaco Grand Prix,Alpine F1 Team,17.0
33,5,Monaco Grand Prix,Aston Martin,19.0
47,5,Monaco Grand Prix,Ferrari,78.0
61,5,Monaco Grand Prix,Haas F1 Team,0.0
75,5,Monaco Grand Prix,McLaren,80.0
89,5,Monaco Grand Prix,Mercedes,148.0
103,5,Monaco Grand Prix,Red Bull,149.0
131,5,Monaco Grand Prix,Williams,0.0
6,6,Azerbaijan Grand Prix,Alfa Romeo,2.0
118,6,Azerbaijan Grand Prix,AlphaTauri,39.0
20,6,Azerbaijan Grand Prix,Alpine F1 Team,25.0
34,6,Azerbaijan Grand Prix,Aston Martin,37.0
48,6,Azerbaijan Grand Prix,Ferrari,94.0
62,6,Azerbaijan Grand Prix,Haas F1 Team,0.0
76,6,Azerbaijan Grand Prix,McLaren,92.0
90,6,Azerbaijan Grand Prix,Mercedes,148.0
104,6,Azerbaijan Grand Prix,Red Bull,174.0
132,6,Azerbaijan Grand Prix,Williams,0.0
7,7,French Grand Prix,Alfa Romeo,2.0
119,7,French Grand Prix,AlphaTauri,45.0
21,7,French Grand Prix,Alpine F1 Team,29.0
35,7,French Grand Prix,Aston Martin,40.0
49,7,French Grand Prix,Ferrari,94.0
63,7,French Grand Prix,Haas F1 Team,0.0
77,7,French Grand Prix,McLaren,110.0
91,7,French Grand Prix,Mercedes,178.0
105,7,French Grand Prix,Red Bull,215.0
133,7,French Grand Prix,Williams,0.0
8,8,Styrian Grand Prix,Alfa Romeo,2.0
120,8,Styrian Grand Prix,AlphaTauri,46.0
22,8,Styrian Grand Prix,Alpine F1 Team,31.0
36,8,Styrian Grand Prix,Aston Martin,44.0
50,8,Styrian Grand Prix,Ferrari,108.0
64,8,Styrian Grand Prix,Haas F1 Team,0.0
78,8,Styrian Grand Prix,McLaren,120.0
92,8,Styrian Grand Prix,Mercedes,212.0
106,8,Styrian Grand Prix,Red Bull,252.0
134,8,Styrian Grand Prix,Williams,0.0
9,9,Austrian Grand Prix,Alfa Romeo,2.0
121,9,Austrian Grand Prix,AlphaTauri,48.0
23,9,Austrian Grand Prix,Alpine F1 Team,32.0
37,9,Austrian Grand Prix,Aston Martin,44.0
51,9,Austrian Grand Prix,Ferrari,122.0
65,9,Austrian Grand Prix,Haas F1 Team,0.0
79,9,Austrian Grand Prix,McLaren,141.0
93,9,Austrian Grand Prix,Mercedes,242.0
107,9,Austrian Grand Prix,Red Bull,286.0
135,9,Austrian Grand Prix,Williams,0.0
10,10,British Grand Prix,Alfa Romeo,2.0
122,10,British Grand Prix,AlphaTauri,49.0
24,10,British Grand Prix,Alpine F1 Team,40.0
38,10,British Grand Prix,Aston Martin,48.0
52,10,British Grand Prix,Ferrari,148.0
66,10,British Grand Prix,Haas F1 Team,0.0
80,10,British Grand Prix,McLaren,163.0
94,10,British Grand Prix,Mercedes,285.0
108,10,British Grand Prix,Red Bull,289.0
136,10,British Grand Prix,Williams,0.0
11,11,Hungarian Grand Prix,Alfa Romeo,3.0
123,11,Hungarian Grand Prix,AlphaTauri,68.0
25,11,Hungarian Grand Prix,Alpine F1 Team,77.0
39,11,Hungarian Grand Prix,Aston Martin,48.0
53,11,Hungarian Grand Prix,Ferrari,163.0
67,11,Hungarian Grand Prix,Haas F1 Team,0.0
81,11,Hungarian Grand Prix,McLaren,163.0
95,11,Hungarian Grand Prix,Mercedes,303.0
109,11,Hungarian Grand Prix,Red Bull,291.0
137,11,Hungarian Grand Prix,Williams,10.0
12,12,Belgian Grand Prix,Alfa Romeo,3.0
124,12,Belgian Grand Prix,AlphaTauri,72.0
26,12,Belgian Grand Prix,Alpine F1 Team,80.0
40,12,Belgian Grand Prix,Aston Martin,53.0
54,12,Belgian Grand Prix,Ferrari,165.5
68,12,Belgian Grand Prix,Haas F1 Team,0.0
82,12,Belgian Grand Prix,McLaren,169.0
96,12,Belgian Grand Prix,Mercedes,310.5
110,12,Belgian Grand Prix,Red Bull,303.5
138,12,Belgian Grand Prix,Williams,20.0
13,13,Dutch Grand Prix,Alfa Romeo,3.0
125,13,Dutch Grand Prix,AlphaTauri,84.0
27,13,Dutch Grand Prix,Alpine F1 Team,90.0
41,13,Dutch Grand Prix,Aston Martin,53.0
55,13,Dutch Grand Prix,Ferrari,181.5
69,13,Dutch Grand Prix,Haas F1 Team,0.0
83,13,Dutch Grand Prix,McLaren,170.0
97,13,Dutch Grand Prix,Mercedes,344.5
111,13,Dutch Grand Prix,Red Bull,332.5
139,13,Dutch Grand Prix,Williams,20.0
0,21,Australian Grand Prix,Alfa Romeo,0.0
112,21,Australian Grand Prix,AlphaTauri,0.0
14,21,Australian Grand Prix,Alpine F1 Team,0.0
28,21,Australian Grand Prix,Aston Martin,0.0
42,21,Australian Grand Prix,Ferrari,0.0
56,21,Australian Grand Prix,Haas F1 Team,0.0
70,21,Australian Grand Prix,McLaren,0.0
84,21,Australian Grand Prix,Mercedes,0.0
98,21,Australian Grand Prix,Red Bull,0.0
126,21,Australian Grand Prix,Williams,0.0
